run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260628-011422-0000-cctns,2026-06-28T01:14:22.596244+00:00,complete,python,0000 - cctns,7,naive,deepseek_deepseek-v3_2,885.847,30413,25621,56034,21,0.019935,7,1332,6,6,7,1,0.143,0,,,1,0.3778,0.3778,45,1,True,True,1,0,0.0,0.1905,0.3778,1448.2,1220.0,885.847,,,
20260628-011449-0000-cctns,2026-06-28T01:14:49.339542+00:00,complete,python,0000 - cctns,7,naive,openai_gpt-5_1,912.613,49194,96309,145503,34,0.065165,12,7459,9,9,12,3,0.25,0,,,1,0.013,0.013,1074,3,True,True,1,0,0.0,0.1735,0.013,1446.9,2832.6,912.613,,,
20260628-012238-0000-cctns,2026-06-28T01:22:38.166219+00:00,complete,python,0000 - cctns,7,naive,anthropic_claude-sonnet-4-6,1381.444,52051,113285,165336,31,0.075779,12,6659,6,6,12,6,0.5,0,,,1,0.3732,0.3732,142,6,True,True,1,0,0.0,0.6038,0.3732,1679.1,3654.4,1381.444,,,
20260628-012910-0000-gamma-j,2026-06-28T01:29:10.625985+00:00,complete,python,0000 - gamma j,6,naive,openai_gpt-5_1,391.099,47598,52080,99678,28,0.038388,11,5097,5,5,11,6,0.545,0,,,1,0.2667,0.2667,30,6,True,True,1,0,0.0,0.4667,0.2667,1699.9,1860.0,391.099,,,
20260628-013411-0000-gamma-j,2026-06-28T01:34:11.784190+00:00,complete,python,0000 - gamma j,6,naive,google_gemini-3_1-pro-preview,692.257,43561,89638,133199,20,0.060317,8,753,3,3,8,5,0.625,0,,,1,0.0088,0.0088,1017,5,True,True,1,0,0.0,0.6316,0.0088,2178.1,4481.9,692.257,,,
20260628-013645-0000-gamma-j,2026-06-28T01:36:45.852441+00:00,complete,python,0000 - gamma j,6,naive,deepseek_deepseek-v3_2,846.326,35980,21872,57852,19,0.01852,6,1074,6,6,6,0,0.0,0,,,1,0.3265,0.3265,49,0,True,True,1,0,0.0,0.0,0.3265,1893.7,1151.2,846.326,,,
20260628-013802-0000-gamma-j,2026-06-28T01:38:02.637185+00:00,complete,python,0000 - gamma j,6,naive,anthropic_claude-sonnet-4-6,923.11,50182,77301,127483,24,0.053908,8,3465,7,7,8,1,0.125,0,,,1,0.445,0.445,191,1,True,True,1,0,0.0,0.0882,0.445,2090.9,3220.9,923.11,,,
20260628-014030-2009-video-search,2026-06-28T01:40:30.043150+00:00,complete,python,2009 - video search,7,naive,openai_gpt-5_1,144.999,15054,17449,32503,11,0.012727,4,1261,2,2,4,2,0.5,0,,,1,0.2143,0.2143,14,2,True,True,1,0,0.0,0.1111,0.2143,1368.5,1586.3,144.999,,,
20260628-014115-2009-video-search,2026-06-28T01:41:15.430812+00:00,complete,python,2009 - video search,7,naive,deepseek_deepseek-v3_2,190.348,6812,4983,11795,4,0.004012,1,223,1,1,1,0,0.0,0,,,1,0.7,0.7,10,0,True,True,1,0,0.0,0.0,0.7,1703.0,1245.8,190.348,,,
20260628-014527-2009-video-search,2026-06-28T01:45:27.233675+00:00,complete,python,2009 - video search,7,naive,anthropic_claude-sonnet-4-6,442.156,26247,34568,60815,18,0.024678,7,1646,3,3,7,4,0.571,0,,,1,0.4048,0.4048,42,4,True,True,1,0,0.0,0.7,0.4048,1458.2,1920.4,442.156,,,
20260628-014834-human,2026-06-28T01:48:34.212757+00:00,complete,python,Human,2,naive,openai_gpt-5_1,185.176,21395,24898,46293,18,0.018148,7,2403,3,3,7,4,0.571,0,,,1,0.2778,0.2778,18,4,True,True,1,0,0.0,0.5,0.2778,1188.6,1383.2,185.176,,,
20260628-015407-human,2026-06-28T01:54:07.538608+00:00,complete,python,Human,2,naive,deepseek_deepseek-v3_2,518.495,25077,17007,42084,22,0.013966,8,810,5,5,8,3,0.375,0,,,1,0.4595,0.4595,37,3,True,True,1,0,0.0,0.5,0.4595,1139.9,773.0,518.495,,,
20260628-015716-human,2026-06-28T01:57:16.283429+00:00,complete,python,Human,2,naive,anthropic_claude-sonnet-4-6,707.248,32432,57996,90428,25,0.039662,9,2907,6,6,9,3,0.333,0,,,1,0.519,0.519,79,3,True,True,1,0,0.0,0.3478,0.519,1297.3,2319.8,707.248,,,
20260628-020229-dineout-srs,2026-06-28T02:02:29.506656+00:00,complete,python,dineout_srs,26,naive,openai_gpt-5_1,311.56,33691,36924,70615,26,0.027208,10,3237,5,5,10,5,0.5,0,,,1,0.4545,0.4545,33,5,True,True,1,0,0.0,0.4231,0.4545,1295.8,1420.2,311.56,,,
20260628-020620-dineout-srs,2026-06-28T02:06:20.050332+00:00,complete,python,dineout_srs,26,naive,anthropic_claude-sonnet-4-6,542.017,38928,41196,80124,24,0.030557,10,1926,3,3,10,7,0.7,0,,,1,0.3962,0.3962,53,7,True,True,1,0,0.0,0.7692,0.3962,1622.0,1716.5,542.017,,,
20260628-021014-dineout-srs,2026-06-28T02:10:14.927835+00:00,complete,python,dineout_srs,26,naive,google_gemini-3_1-pro-preview,776.902,35612,99195,134807,26,0.064859,10,586,5,5,10,5,0.5,0,,,1,0.5667,0.5667,30,5,True,True,1,0,0.0,0.4615,0.5667,1369.7,3815.2,776.902,,,
20260628-021239-kinmail-srs,2026-06-28T02:12:39.186370+00:00,complete,python,kinmail_srs,13,naive,openai_gpt-5_1,142.366,16889,20622,37511,11,0.014907,4,1979,2,2,4,2,0.5,0,,,1,0.0,0.0,2,2,True,True,1,0,0.0,0.5714,0.0,1535.4,1874.7,142.366,,,
