run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260630-173340-event-management,2026-06-30T17:33:40.591339+00:00,complete,python,Event Management,12,naive,openai_gpt-5_1,318.552,24581,30001,54582,17,0.01592,6,2387,4,4,6,2,0.333,0,,,1,0.2692,0.2692,26,2,True,True,1,0,0.0,0.2424,0.2692,1445.9,1764.8,318.552,,,
20260630-173347-trading-software,2026-06-30T17:33:47.916667+00:00,complete,javascript,TRADING SOFTWARE,12,naive,openai_gpt-5_1,325.878,24828,31127,55955,18,0.016363,7,2624,3,3,7,4,0.571,0,,,1,0.1765,0.1765,17,4,True,True,1,0,0.0,0.5172,0.1765,1379.3,1729.3,325.878,,,
20260630-173422-trading-software,2026-06-30T17:34:22.178605+00:00,complete,python,TRADING SOFTWARE,12,naive,openai_gpt-5_1,360.14,25425,34745,60170,18,0.017742,7,3018,3,3,7,4,0.571,0,,,1,0.25,0.25,20,4,True,True,1,0,0.0,0.4865,0.25,1412.5,1930.3,360.14,,,
20260630-173533-trading-software,2026-06-30T17:35:33.646086+00:00,complete,java,TRADING SOFTWARE,12,naive,openai_gpt-5_1,431.607,27491,42500,69991,20,0.020876,8,3702,3,3,8,5,0.625,0,,,1,1.0,1.0,3,5,True,True,1,0,0.0,0.697,1.0,1374.5,2125.0,431.607,,,
20260630-173923-event-management,2026-06-30T17:39:23.515630+00:00,complete,javascript,Event Management,12,naive,openai_gpt-5_1,313.884,26621,28510,55131,20,0.015876,7,2202,5,5,7,2,0.286,0,,,1,0.25,0.25,24,2,True,True,1,0,0.0,0.2083,0.25,1331.0,1425.5,313.884,,,
20260630-174136-event-management,2026-06-30T17:41:36.708584+00:00,complete,java,Event Management,12,naive,openai_gpt-5_1,447.09,31339,42135,73474,22,0.021631,9,3733,3,3,9,6,0.667,0,,,1,1.0,1.0,3,6,True,True,1,0,0.0,0.6,1.0,1424.5,1915.2,447.09,,,
20260630-174347-shoten-srs,2026-06-30T17:43:47.523819+00:00,complete,python,Shoten_SRS,54,naive,openai_gpt-5_1,577.903,52838,55752,108590,40,0.031223,15,4178,9,9,15,6,0.4,0,,,1,0.4615,0.4615,52,6,True,True,1,0,0.0,0.3396,0.4615,1321.0,1393.8,577.903,,,
20260630-174525-shoten-srs,2026-06-30T17:45:25.846960+00:00,complete,java,Shoten_SRS,54,naive,openai_gpt-5_1,676.229,53174,70146,123320,39,0.03624,15,4635,8,8,15,7,0.467,0,,,1,0.875,0.875,8,7,True,True,1,0,0.0,0.4151,0.875,1363.4,1798.6,676.229,,,
20260630-174955-shoten-srs,2026-06-30T17:49:55.308236+00:00,complete,javascript,Shoten_SRS,54,naive,openai_gpt-5_1,620.483,52889,55044,107933,40,0.030992,15,3804,9,9,15,6,0.4,0,,,1,0.3,0.3,40,6,True,True,1,0,0.0,0.3774,0.3,1322.2,1376.1,620.483,,,
20260630-175415-trading-software,2026-06-30T17:54:15.897886+00:00,complete,python,TRADING SOFTWARE,12,naive,anthropic_claude-haiku-4_5,250.164,41483,46698,88181,29,0.025518,11,2510,6,6,11,5,0.455,0,,,1,0.5063,0.5063,79,5,True,True,1,0,0.0,0.3448,0.5063,1430.4,1610.3,250.164,,,
20260630-175902-trading-software,2026-06-30T17:59:02.134004+00:00,complete,java,TRADING SOFTWARE,12,naive,anthropic_claude-haiku-4_5,282.433,42098,49040,91138,29,0.026463,11,2730,6,6,11,5,0.455,0,,,1,1.0,1.0,6,5,True,True,1,0,0.0,0.3448,1.0,1451.7,1691.0,282.433,,,
20260630-180315-foodsaver,2026-06-30T18:03:15.840184+00:00,complete,python,foodsaver,37,naive,openai_gpt-5_1,1288.983,119436,110294,229730,95,0.06518,37,8081,20,20,37,17,0.459,0,,,1,0.3514,0.3514,111,17,True,True,1,0,0.0,0.4312,0.3514,1257.2,1161.0,1288.983,,,
20260630-180551-trading-software,2026-06-30T18:05:51.505669+00:00,complete,javascript,TRADING SOFTWARE,12,naive,anthropic_claude-haiku-4_5,406.419,41602,39524,81126,29,0.023083,11,2266,6,6,11,5,0.455,0,,,1,0.451,0.451,51,5,True,True,1,0,0.0,0.3448,0.451,1434.6,1362.9,406.419,,,
20260630-180619-foodsaver,2026-06-30T18:06:19.969687+00:00,complete,java,foodsaver,37,naive,openai_gpt-5_1,1350.516,119248,120032,239280,90,0.068479,37,7799,15,15,37,22,0.595,0,,,1,1.0,1.0,15,22,True,True,1,0,0.0,0.5701,1.0,1325.0,1333.7,1350.516,,,
20260630-180656-event-management,2026-06-30T18:06:56.628762+00:00,complete,python,Event Management,12,naive,anthropic_claude-haiku-4_5,218.534,40666,36813,77479,26,0.021939,10,1982,5,5,10,5,0.5,0,,,1,0.4516,0.4516,62,5,True,True,1,0,0.0,0.48,0.4516,1564.1,1415.9,218.534,,,
20260630-180829-foodsaver,2026-06-30T18:08:29.077737+00:00,complete,javascript,foodsaver,37,naive,openai_gpt-5_1,1377.588,120636,101241,221877,97,0.062347,37,6756,22,22,37,15,0.405,0,,,1,0.22,0.22,100,15,True,True,1,0,0.0,0.4019,0.22,1243.7,1043.7,1377.588,,,
20260630-180942-event-management,2026-06-30T18:09:42.194774+00:00,complete,java,Event Management,12,naive,anthropic_claude-haiku-4_5,221.3,41186,40253,81439,26,0.023238,10,2200,5,5,10,5,0.5,0,,,1,1.0,1.0,5,5,True,True,1,0,0.0,0.48,1.0,1584.1,1548.2,221.3,,,
20260630-180951-event-management,2026-06-30T18:09:51.978986+00:00,complete,javascript,Event Management,12,naive,anthropic_claude-haiku-4_5,200.652,40756,33868,74624,26,0.020948,10,2070,5,5,10,5,0.5,0,,,1,0.3778,0.3778,45,5,True,True,1,0,0.0,0.48,0.3778,1567.5,1302.6,200.652,,,
20260630-181257-shoten-srs,2026-06-30T18:12:57.391070+00:00,complete,python,Shoten_SRS,54,naive,anthropic_claude-haiku-4_5,355.722,59695,66355,126050,40,0.036431,14,2437,11,11,14,3,0.214,0,,,1,0.625,0.625,136,3,True,True,1,0,0.0,0.1321,0.625,1492.4,1658.9,355.722,,,
20260630-181447-shoten-srs,2026-06-30T18:14:47.493736+00:00,complete,java,Shoten_SRS,54,naive,anthropic_claude-haiku-4_5,374.248,60767,66863,127630,40,0.036851,14,2626,11,11,14,3,0.214,0,,,1,0.9091,0.9091,11,3,True,True,1,0,0.0,0.1321,0.9091,1519.2,1671.6,374.248,,,
20260630-181500-shoten-srs,2026-06-30T18:15:00.811987+00:00,complete,javascript,Shoten_SRS,54,naive,anthropic_claude-haiku-4_5,316.121,59981,54531,114512,40,0.032439,14,1949,11,11,14,3,0.214,0,,,1,0.4141,0.4141,99,3,True,True,1,0,0.0,0.1321,0.4141,1499.5,1363.3,316.121,,,
20260630-181523-foodsaver,2026-06-30T18:15:23.550803+00:00,complete,python,foodsaver,37,naive,anthropic_claude-haiku-4_5,328.812,70736,53971,124707,42,0.034707,16,2396,9,9,16,7,0.438,0,,,1,0.4412,0.4412,102,7,True,True,1,0,0.0,0.4776,0.4412,1684.2,1285.0,328.812,,,
20260630-181642-trading-software,2026-06-30T18:16:42.736541+00:00,complete,python,TRADING SOFTWARE,12,naive,google_gemini-3-flash-preview,90.876,18337,12504,30841,13,0.008487,4,491,4,4,4,0,0.0,0,,,1,0.3478,0.3478,23,0,True,True,1,0,0.0,0.0,0.3478,1410.5,961.8,90.876,,,
20260630-181718-trading-software,2026-06-30T18:17:18.920960+00:00,complete,java,TRADING SOFTWARE,12,naive,google_gemini-3-flash-preview,106.737,18701,14351,33052,13,0.009204,4,590,4,4,4,0,0.0,0,,,1,1.0,1.0,4,0,True,True,1,0,0.0,0.0,1.0,1438.5,1103.9,106.737,,,
20260630-181822-trading-software,2026-06-30T18:18:22.178834+00:00,complete,javascript,TRADING SOFTWARE,12,naive,google_gemini-3-flash-preview,88.62,18445,10840,29285,13,0.007941,4,402,4,4,4,0,0.0,0,,,1,0.2105,0.2105,19,0,True,True,1,0,0.0,0.0,0.2105,1418.8,833.8,88.62,,,
20260630-181845-foodsaver,2026-06-30T18:18:45.472727+00:00,complete,java,foodsaver,37,naive,anthropic_claude-haiku-4_5,335.873,72459,59783,132242,43,0.037096,16,2605,10,10,16,6,0.375,0,,,1,1.0,1.0,10,6,True,True,1,0,0.0,0.3571,1.0,1685.1,1390.3,335.873,,,
20260630-181917-event-management,2026-06-30T18:19:17.441601+00:00,complete,python,Event Management,12,naive,google_gemini-3-flash-preview,113.365,25705,13798,39503,18,0.010617,6,453,5,5,6,1,0.167,0,,,1,0.3571,0.3571,28,1,True,True,1,0,0.0,0.1,0.3571,1428.1,766.6,113.365,,,
20260630-181953-foodsaver,2026-06-30T18:19:53.260199+00:00,complete,javascript,foodsaver,37,naive,anthropic_claude-haiku-4_5,302.109,71679,46093,117772,43,0.032219,16,1849,10,10,16,6,0.375,0,,,1,0.3034,0.3034,89,6,True,True,1,0,0.0,0.3571,0.3034,1667.0,1071.9,302.109,,,
20260630-182047-event-management,2026-06-30T18:20:47.808419+00:00,complete,javascript,Event Management,12,naive,google_gemini-3-flash-preview,111.227,25828,12628,38456,18,0.010243,6,485,5,5,6,1,0.167,0,,,1,0.2593,0.2593,27,1,True,True,1,0,0.0,0.1,0.2593,1434.9,701.6,111.227,,,
20260630-182142-event-management,2026-06-30T18:21:42.709905+00:00,complete,java,Event Management,12,naive,google_gemini-3-flash-preview,197.402,26168,16174,42342,18,0.011538,6,609,5,5,6,1,0.167,0,,,1,0.8,0.8,5,1,True,True,1,0,0.0,0.1,0.8,1453.8,898.6,197.402,,,
20260630-182554-shoten-srs,2026-06-30T18:25:54.229146+00:00,complete,python,Shoten_SRS,54,naive,google_gemini-3-flash-preview,386.847,54369,35102,89471,41,0.024487,14,1087,12,12,14,2,0.143,0,,,1,0.5672,0.5672,67,2,True,True,1,0,0.0,0.16,0.5672,1326.1,856.1,386.847,,,
20260630-182615-shoten-srs,2026-06-30T18:26:15.922763+00:00,complete,java,Shoten_SRS,54,naive,google_gemini-3-flash-preview,376.769,55594,37015,92609,41,0.025423,14,1230,12,12,14,2,0.143,0,,,1,1.0,1.0,12,2,True,True,1,0,0.0,0.16,1.0,1356.0,902.8,376.769,,,
20260630-182924-shoten-srs,2026-06-30T18:29:24.628669+00:00,complete,javascript,Shoten_SRS,54,naive,google_gemini-3-flash-preview,505.409,51817,29644,81461,41,0.02203,14,997,12,12,14,2,0.143,0,,,1,0.5385,0.5385,52,2,True,True,1,0,0.0,0.16,0.5385,1263.8,723.0,505.409,,,
20260630-183357-trading-software,2026-06-30T18:33:57.236622+00:00,complete,python,TRADING SOFTWARE,12,naive,deepseek_deepseek-v3_2-20251201,370.719,16867,16607,33474,12,0.009559,4,970,3,3,4,1,0.25,0,,,1,0.36,0.36,25,1,True,True,1,0,0.0,0.2857,0.36,1405.6,1383.9,370.719,,,
20260630-183707-trading-software,2026-06-30T18:37:07.285744+00:00,complete,java,TRADING SOFTWARE,12,naive,deepseek_deepseek-v3_2-20251201,458.68,19926,19967,39893,15,0.011412,5,1067,4,4,5,1,0.2,0,,,1,0.5,0.5,4,1,True,True,1,0,0.0,0.25,0.5,1328.4,1331.1,458.68,,,
20260630-184034-trading-software,2026-06-30T18:40:34.137668+00:00,complete,javascript,TRADING SOFTWARE,12,naive,deepseek_deepseek-v3_2-20251201,353.576,17067,14532,31599,13,0.008892,4,676,4,4,4,0,0.0,0,,,1,0.2593,0.2593,27,0,True,True,1,0,0.0,0.0,0.2593,1312.8,1117.8,353.576,,,
