run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260626-113422-0000-cctns,2026-06-26T11:34:22.286418+00:00,complete,python,0000 - cctns,7,fastapi,google_gemini-3_1-pro-preview,676.403,60925,84822,145747,35,0.060032,7,587,7,15,7,7,1.0,0,136.716,0.003,1,0.0,0.0,0,7,True,True,1,4,0.0,1.0,0.0,1740.7,2423.5,676.4,1.0,0.0,1.0
20260626-114729-0000-cctns,2026-06-26T11:47:29.751065+00:00,complete,python,0000 - cctns,7,fastapi,anthropic_claude-sonnet-4-6,1463.777,540885,139547,680432,82,1.320582,7,1425,7,36,7,5,0.714,0,390.994,7.153,1,0.5,0.9090909090909091,2,5,True,True,1,4,0.0,0.7143,0.9091,6596.2,1701.8,1463.78,2.0,5,0.8571
20260626-122707-0000-gamma-j,2026-06-26T12:27:07.510627+00:00,complete,python,0000 - gamma j,6,fastapi,google_gemini-3_1-pro-preview,1116.919,71948,147990,219938,34,0.099586,6,560,6,12,6,5,0.833,0,489.073,0.001,1,0.0,0.0,0,5,True,True,1,4,0.0,0.8333,0.0,2116.1,4352.6,1116.92,1.67,0.0,0.8333
20260626-124217-0000-gamma-j,2026-06-26T12:42:17.758859+00:00,complete,python,0000 - gamma j,6,fastapi,anthropic_claude-sonnet-4-6,2027.114,652309,171938,824247,81,1.784185,6,1452,6,32,6,4,0.667,0,369.492,6.753,1,0.0,0.0,2,5,True,True,1,4,0.0,0.8333,0.0,8053.2,2122.7,2027.11,2.17,5,0.8333
20260626-125037-2009-video-search,2026-06-26T12:50:37.855591+00:00,complete,python,2009 - video search,7,fastapi,anthropic_claude-sonnet-4-6,265.953,21675,23257,44932,6,0.017205,1,444,1,25,1,1,1.0,0,36.719,0.002,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,3612.5,3876.2,265.95,1.0,0.0,1.0
20260626-125106-2009-video-search,2026-06-26T12:51:06.268278+00:00,complete,python,2009 - video search,7,fastapi,google_gemini-3_1-pro-preview,294.366,17444,40998,58442,7,0.027215,1,198,1,18,1,1,1.0,0,76.475,0.001,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,2492.0,5856.9,294.37,2.0,0.0,1.0
20260626-125622-human,2026-06-26T12:56:22.192060+00:00,complete,python,Human,2,fastapi,anthropic_claude-sonnet-4-6,218.394,29020,16320,45340,10,0.014145,2,483,2,10,2,2,1.0,0,61.718,0.001,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,2902.0,1632.0,218.39,1.0,0.0,1.0
20260626-125627-human,2026-06-26T12:56:27.511109+00:00,complete,python,Human,2,fastapi,google_gemini-3_1-pro-preview,223.677,20497,26962,47459,11,0.019252,2,182,2,4,2,2,1.0,0,61.812,0.001,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,1863.4,2451.1,223.68,1.5,0.0,1.0
20260626-133217-dineout-srs,2026-06-26T13:32:17.475941+00:00,complete,python,dineout_srs,26,fastapi,anthropic_claude-sonnet-4-6,2147.796,566132,181428,747560,119,1.09235,12,2283,10,98,10,8,0.8,0,595.864,8.882,1,0.25,0.5,4,8,True,True,1,4,0.0,0.8462,0.5,4757.4,1524.6,2147.8,1.88,5,0.8846
20260626-133534-dineout-srs,2026-06-26T13:35:34.121924+00:00,complete,python,dineout_srs,26,fastapi,google_gemini-3_1-pro-preview,2344.484,122877,319020,441897,64,0.209844,10,1244,10,39,10,10,1.0,0,549.147,0.002,1,0.0,0.0,0,10,True,True,1,4,0.0,1.0,0.0,1920.0,4984.7,2344.48,1.27,0.0,1.0
