srs,language,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1,total_tokens
0000 - cctns,python,0.8571,1.0,2488.7,776.9,995.54,1.71,1,1.0,127359
0000 - cctns,java,0.7143,1.0,2573.5,793.2,1093.06,2.0,1,1.0,141399
0000 - cctns,javascript,0.8571,0.6667,2802.8,922.9,1785.15,2.57,1,0.8571,182560
0000 - gamma j,python,1.0,0.0,3247.7,985.2,1797.88,2.5,0.0,1.0,220110
0000 - gamma j,java,0.6667,0.0,2563.1,1017.5,756.53,2.33,1,0.6667,110999
0000 - gamma j,javascript,0.5,0.5333,2872.5,862.2,852.05,2.83,1,0.6667,153123
2009 - video search,python,1.0,0.0,4096.2,944.3,2321.76,3.0,0.0,1.0,433485
2009 - video search,java,0.8571,0.0,3088.1,908.0,1318.64,2.29,1,0.8571,207799
2009 - video search,javascript,0.7143,0.5385,2595.7,714.0,1125.1,3.0,1,0.7143,168793
Event Management,python,0.0,0.2778,2397.9,1341.1,1280.39,4.0,5,0.0,123386
Event Management,java,0.0,1.0,2720.7,1149.3,582.27,4.0,1,1.0,65790
Event Management,javascript,0.0,0.625,2355.6,904.5,396.88,4.0,1,0.0,55423
Human,python,1.0,0.0,2662.8,846.5,363.2,2.5,0.0,1.0,52639
Human,java,1.0,0.0,2424.2,725.8,248.48,1.0,0.0,1.0,34650
Human,javascript,1.0,0.0,2143.2,438.5,203.43,1.5,0.0,1.0,28398
Shoten_SRS,python,0.7963,0.0,5195.3,1435.5,12492.33,3.65,5,0.7963,2426853
Shoten_SRS,java,0.3889,1.0,2807.6,1596.3,5711.23,3.06,1,1.0,726642
Shoten_SRS,javascript,0.3148,0.7381,2617.0,1059.4,4895.41,3.39,1,0.5556,650724
TRADING SOFTWARE,python,0.0,0.0,2323.9,1076.0,1132.29,4.0,5,0.0,129197
TRADING SOFTWARE,java,0.0,1.0,2923.4,1458.6,560.19,4.0,1,1.0,70111
TRADING SOFTWARE,javascript,1.0,0.0,1728.8,897.2,417.3,1.0,0.0,1.0,31513
dineout_srs,python,0.8462,0.6471,4354.8,1123.3,7786.02,3.54,5,0.9231,1161338
dineout_srs,java,0.5385,0.0,2796.4,1098.8,3054.71,2.85,1,0.5385,350573
dineout_srs,javascript,0.5,0.5185,2376.5,800.1,3492.11,3.08,1,0.5769,330367
foodsaver,python,1.0,0.0,3305.9,894.7,9304.66,2.3,0.0,1.0,1365202
foodsaver,java,0.6757,0.0,2757.4,961.3,5724.82,2.62,1,0.6757,721426
foodsaver,javascript,0.7838,0.6087,2489.0,743.6,4938.06,2.46,1,0.8108,921297
kinmail_srs,python,0.9231,1.0,2663.7,936.2,2682.57,1.85,2,1.0,302386
kinmail_srs,java,0.6923,1.0,2814.9,913.8,2677.54,2.62,1,1.0,339311
kinmail_srs,javascript,0.7692,0.4375,2639.5,866.1,2175.36,2.54,1,0.7692,301485
