run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260629-215113-shoten-srs,2026-06-29T21:51:13.243236+00:00,complete,javascript,Shoten_SRS,54,express,openai_gpt-5_1,2116.655,634241,193364,827605,192,0.211477,54,2694,17,200,17,9,0.529,0,1201.584,9.406,1,0.3793103448275862,0.7431192660550459,29,9,True,True,1,2,0.0,0.463,0.7431,3303.3,1007.1,2116.66,4.63,1,0.6667
20260629-215723-shoten-srs,2026-06-29T21:57:23.713380+00:00,complete,java,Shoten_SRS,54,spring,openai_gpt-5_1,2490.064,666142,199505,865647,182,0.220883,38,3879,17,162,17,8,0.471,0,1223.843,330.568,1,1.0,1.0,31,8,True,True,1,2,0.0,0.463,1.0,3660.1,1096.2,2490.06,4.59,1,1.0
20260629-224325-foodsaver,2026-06-29T22:43:25.334489+00:00,complete,java,foodsaver,37,spring,openai_gpt-5_1,2340.585,726084,175046,901130,246,0.226204,37,3218,37,152,37,29,0.784,1,1209.287,116.317,1,0.0,0.0,8,29,True,True,1,2,0.0,0.7838,0.0,2951.6,711.6,2340.59,2.43,1,0.7838
20260629-224436-foodsaver,2026-06-29T22:44:36.593669+00:00,complete,javascript,foodsaver,37,express,openai_gpt-5_1,2409.05,727684,182898,910582,253,0.229265,37,1920,37,159,37,26,0.703,0,1546.239,4.642,1,0.45454545454545453,0.82,11,26,True,True,1,2,0.0,0.7027,0.82,2876.2,722.9,2409.05,2.84,1,0.8378
20260629-232615-foodsaver,2026-06-29T23:26:15.798680+00:00,complete,python,foodsaver,37,fastapi,openai_gpt-5_1,4912.773,1197545,341502,1539047,298,0.391202,37,6141,37,155,37,30,0.811,0,1389.535,21.265,1,0.3333333333333333,0.5714285714285714,7,34,True,True,1,2,0.0,0.9189,0.5714,4018.6,1146.0,4912.77,2.65,3,0.9459
20260629-233546-shoten-srs,2026-06-29T23:35:46.756180+00:00,complete,python,Shoten_SRS,54,fastapi,openai_gpt-5_1,6897.104,1302557,355520,1658077,291,0.42004,31,4384,17,176,17,11,0.647,0,929.221,58.306,1,0.08333333333333333,0.359375,28,13,True,True,1,2,0.0,0.7037,0.3594,4476.1,1221.7,6897.1,3.74,3,0.7407
20260630-034405-trading-software,2026-06-30T03:44:05.424186+00:00,complete,python,TRADING SOFTWARE,12,fastapi,openai_gpt-5_1,196.973,32665,21957,54622,8,0.015009,1,348,1,25,1,1,1.0,0,75.261,0.001,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,4083.1,2744.6,196.97,3.0,0.0,1.0
20260630-034701-trading-software,2026-06-30T03:47:01.602688+00:00,complete,java,TRADING SOFTWARE,12,spring,openai_gpt-5_1,368.776,69810,27705,97515,18,0.025481,6,680,1,24,1,0,0.0,0,99.984,36.522,1,1.0,1.0,6,0,True,True,1,4,0.0,0.0,1.0,3878.3,1539.2,368.78,4.0,1,1.0
20260630-034728-trading-software,2026-06-30T03:47:28.014602+00:00,complete,javascript,TRADING SOFTWARE,12,express,openai_gpt-5_1,295.653,43298,26527,69825,13,0.019011,6,662,1,24,1,1,1.0,0,165.422,0.001,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,3330.6,2040.5,295.65,3.0,0.0,1.0
20260630-040140-event-management,2026-06-30T04:01:40.768659+00:00,complete,javascript,Event Management,12,express,openai_gpt-5_1,877.388,268112,80925,349037,89,0.089117,12,1299,12,58,12,6,0.5,0,542.244,3.215,1,0.3333333333333333,0.6896551724137931,6,6,True,True,1,4,0.0,0.5,0.6897,3012.5,909.3,877.39,3.42,1,0.6667
20260630-040200-event-management,2026-06-30T04:02:00.345813+00:00,complete,java,Event Management,12,spring,openai_gpt-5_1,1071.68,340297,95446,435743,99,0.110617,12,1492,12,58,12,6,0.5,0,486.515,53.825,1,0.0,0.0,6,6,True,True,1,4,0.0,0.5,0.0,3437.3,964.1,1071.68,3.17,1,0.5
20260630-041216-trading-software,2026-06-30T04:12:16.130885+00:00,complete,javascript,TRADING SOFTWARE,12,express,anthropic_claude-haiku-4_5,614.138,302882,88363,391245,84,0.099626,12,875,12,58,12,6,0.5,0,369.752,2.78,1,0.3333333333333333,0.5172413793103449,6,6,True,True,1,4,0.0,0.5,0.5172,3605.7,1051.9,614.14,3.0,1,0.6667
20260630-041418-trading-software,2026-06-30T04:14:18.556908+00:00,complete,java,TRADING SOFTWARE,12,spring,anthropic_claude-haiku-4_5,754.132,408183,101502,509685,96,0.128228,12,899,12,58,12,6,0.5,0,353.137,46.541,1,0.0,0.0,6,6,True,True,1,4,0.0,0.5,0.0,4251.9,1057.3,754.13,3.0,1,0.5
20260630-042321-event-management,2026-06-30T04:23:21.616349+00:00,complete,python,Event Management,12,fastapi,openai_gpt-5_1,2422.09,441746,135211,576957,126,0.147476,12,2299,12,57,12,6,0.5,1,556.236,15.724,1,0.0,0.0,6,12,True,True,1,4,0.0,1.0,0.0,3505.9,1073.1,2422.09,3.25,0.0,1.0
20260630-042454-event-management,2026-06-30T04:24:54.892907+00:00,complete,java,Event Management,12,spring,anthropic_claude-haiku-4_5,633.027,382252,86507,468759,96,0.117148,12,787,12,59,12,5,0.417,0,262.718,57.91,1,0.0,0.0,7,5,True,True,1,4,0.0,0.4167,0.0,3981.8,901.1,633.03,3.08,1,0.4167
20260630-043130-event-management,2026-06-30T04:31:30.609979+00:00,complete,javascript,Event Management,12,express,anthropic_claude-haiku-4_5,484.921,275179,68710,343889,83,0.086542,12,993,12,56,12,6,0.5,0,249.733,2.401,1,0.0,0.4444444444444444,6,6,True,True,1,4,0.0,0.5,0.4444,3315.4,827.8,484.92,2.92,1,0.5
20260630-044853-event-management,2026-06-30T04:48:53.449165+00:00,complete,python,Event Management,12,fastapi,anthropic_claude-haiku-4_5,2195.088,603133,141478,744611,154,0.186552,12,1163,12,57,12,5,0.417,0,261.263,16.558,1,0.0,0.0,7,12,True,True,1,4,0.0,1.0,0.0,3916.4,918.7,2195.09,3.08,0.0,1.0
20260630-050059-trading-software,2026-06-30T05:00:59.912589+00:00,complete,python,TRADING SOFTWARE,12,fastapi,anthropic_claude-haiku-4_5,4409.362,978147,223853,1202000,192,0.300626,12,1183,12,56,12,5,0.417,0,383.091,18.298,1,0.0,0.0,7,11,True,True,1,4,0.0,0.9167,0.0,5094.5,1165.9,4409.36,3.08,5,0.9167
20260630-050124-shoten-srs,2026-06-30T05:01:24.913492+00:00,complete,java,Shoten_SRS,54,spring,anthropic_claude-haiku-4_5,1790.425,623291,229748,853039,166,0.221458,44,3223,17,186,17,6,0.353,0,592.584,407.588,1,0.0,0.0,38,6,True,True,1,4,0.0,0.2963,0.0,3754.8,1384.0,1790.42,3.19,1,0.2963
20260630-051151-shoten-srs,2026-06-30T05:11:51.373743+00:00,complete,javascript,Shoten_SRS,54,express,anthropic_claude-haiku-4_5,1373.957,609006,209875,818881,174,0.21137,54,3219,17,196,17,6,0.353,0,632.639,12.535,1,0.5263157894736842,0.717391304347826,38,6,True,True,1,4,0.0,0.2963,0.7174,3500.0,1206.2,1373.96,3.22,1,0.6667
