srs,language,pipeline_verification_pass_ratio,cot_verification_pass_ratio,mot_verification_pass_ratio,d_cot_verification_pass_ratio,d_mot_verification_pass_ratio,d_total_verification_pass_ratio,pipeline_test_case_pass_ratio,cot_test_case_pass_ratio,mot_test_case_pass_ratio,d_cot_test_case_pass_ratio,d_mot_test_case_pass_ratio,d_total_test_case_pass_ratio,pipeline_avg_input_token,cot_avg_input_token,mot_avg_input_token,d_cot_avg_input_token,d_mot_avg_input_token,d_total_avg_input_token,pipeline_avg_output_token,cot_avg_output_token,mot_avg_output_token,d_cot_avg_output_token,d_mot_avg_output_token,d_total_avg_output_token,pipeline_total_time,cot_total_time,mot_total_time,d_cot_total_time,d_mot_total_time,d_total_total_time,pipeline_avg_verification_iter,cot_avg_verification_iter,mot_avg_verification_iter,d_cot_avg_verification_iter,d_mot_avg_verification_iter,d_total_avg_verification_iter,pipeline_avg_test_iter,cot_avg_test_iter,mot_avg_test_iter,d_cot_avg_test_iter,d_mot_avg_test_iter,d_total_avg_test_iter,pipeline_PassVer@1,cot_PassVer@1,mot_PassVer@1,d_cot_PassVer@1,d_mot_PassVer@1,d_total_PassVer@1,pipeline_total_tokens,cot_total_tokens,mot_total_tokens,d_cot_total_tokens,d_mot_total_tokens,d_total_total_tokens
0000 - cctns,java,0.4286,0.7143,0.7143,0.2857,0.0,0.2857,0.0,1.0,1.0,1.0,0.0,1.0,2484.5,2758.2,2573.5,273.7,-184.7,89.0,764.7,771.5,793.2,6.8,21.7,28.5,1052.04,914.87,1093.06,-137.17,178.19,41.02,2.86,2.0,2.0,-0.86,0.0,-0.86,1,1,1,0.0,0.0,0.0,0.4286,0.8571,1.0,0.4285,0.1429,0.5714,155964,151779,141399,-4185.0,-10380.0,-14565.0
0000 - cctns,javascript,0.2857,0.7143,0.8571,0.4286,0.1428,0.5714,0.4,0.4,0.6667,0.0,0.2667,0.2667,2478.6,2426.9,2802.8,-51.7,375.9,324.2,620.9,579.2,922.9,-41.7,343.7,302.0,1074.62,976.1,1785.15,-98.52,809.05,710.53,3.14,2.43,2.57,-0.71,0.14,-0.57,1,1,1,0.0,0.0,0.0,0.2857,0.7143,0.8571,0.4286,0.1428,0.5714,154975,135278,182560,-19697.0,47282.0,27585.0
0000 - cctns,python,0.5714,0.8571,0.8571,0.2857,0.0,0.2857,1.0,0.0,1.0,-1.0,1.0,0.0,2465.4,2429.3,2488.7,-36.1,59.4,23.3,664.2,791.1,776.9,126.9,-14.2,112.7,939.45,1255.19,995.54,315.74,-259.65,56.09,2.86,1.71,1.71,-1.15,0.0,-1.15,2,0.0,1,-2.0,1.0,-1.0,0.8571,0.8571,1.0,0.0,0.1429,0.1429,162742,128818,127359,-33924.0,-1459.0,-35383.0
0000 - gamma j,java,0.1667,0.8333,0.6667,0.6666,-0.1666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2753.5,3169.1,2563.1,415.6,-606.0,-190.4,824.1,950.9,1017.5,126.8,66.6,193.4,957.82,1163.07,756.53,205.25,-406.54,-201.29,3.5,2.33,2.33,-1.17,0.0,-1.17,1,1,1,0.0,0.0,0.0,0.1667,0.8333,0.6667,0.6666,-0.1666,0.5,160991,168919,110999,7928.0,-57920.0,-49992.0
0000 - gamma j,javascript,0.5,1.0,0.5,0.5,-0.5,0.0,0.3,0.0,0.5333,-0.3,0.5333,0.2333,2507.6,2476.8,2872.5,-30.8,395.7,364.9,667.7,862.1,862.2,194.4,0.1,194.5,776.88,1347.15,852.05,570.27,-495.1,75.17,2.83,2.17,2.83,-0.66,0.66,0.0,1,0.0,1,-1.0,1.0,0.0,0.5,1.0,0.6667,0.5,-0.3333,0.1667,130186,123538,153123,-6648.0,29585.0,22937.0
0000 - gamma j,python,0.8333,1.0,1.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,4727.3,3801.4,3247.7,-925.9,-553.7,-1479.6,912.9,988.5,985.2,75.6,-3.3,72.3,1858.01,1958.32,1797.88,100.31,-160.44,-60.13,2.67,2.0,2.5,-0.67,0.5,-0.17,5,0.0,0.0,-5.0,0.0,-5.0,0.8333,1.0,1.0,0.1667,0.0,0.1667,676823,282601,220110,-394222.0,-62491.0,-456713.0
2009 - video search,java,0.0,0.0,0.8571,0.0,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,2394.1,2764.6,3088.1,370.5,323.5,694.0,1062.3,1093.9,908.0,31.6,-185.9,-154.3,399.98,598.53,1318.64,198.55,720.11,918.66,4.0,4.0,2.29,0.0,-1.71,-1.71,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.8571,0.0,0.8571,0.8571,51847,57878,207799,6031.0,149921.0,155952.0
2009 - video search,javascript,0.0,0.0,0.7143,0.0,0.7143,0.7143,0.72,0.0,0.5385,-0.72,0.5385,-0.1815,2565.7,2606.5,2595.7,40.8,-10.8,30.0,1284.6,928.1,714.0,-356.5,-214.1,-570.6,481.74,1024.59,1125.1,542.85,100.51,643.36,4.0,4.0,3.0,0.0,-1.0,-1.0,1,0.0,1,-1.0,1.0,0.0,0.4286,0.0,0.7143,-0.4286,0.7143,0.2857,57754,53020,168793,-4734.0,115773.0,111039.0
2009 - video search,python,0.0,0.0,1.0,0.0,1.0,1.0,0.6364,0.4444,0.0,-0.192,-0.4444,-0.6364,1532.5,1835.0,4096.2,302.5,2261.2,2563.7,614.1,861.3,944.3,247.2,83.0,330.2,674.34,1021.9,2321.76,347.56,1299.86,1647.42,4.0,4.0,3.0,0.0,-1.0,-1.0,5,5,0.0,0.0,-5.0,-5.0,0.4286,0.1429,1.0,-0.2857,0.8571,0.5714,92304,115942,433485,23638.0,317543.0,341181.0
Event Management,java,0.8333,1.0,0.0,0.1667,-1.0,-0.8333,0.0,0.0,1.0,0.0,1.0,1.0,3013.6,2696.9,2720.7,-316.7,23.8,-292.9,708.6,1351.0,1149.3,642.4,-201.7,440.7,2018.43,252.66,582.27,-1765.77,329.61,-1436.16,2.08,2.0,4.0,-0.08,2.0,1.92,1,0.0,1,-1.0,1.0,0.0,0.8333,1.0,1.0,0.1667,0.0,0.1667,320111,28335,65790,-291776.0,37455.0,-254321.0
Event Management,javascript,0.6667,0.0,0.0,-0.6667,0.0,-0.6667,0.5,0.7333,0.625,0.2333,-0.1083,0.125,2247.4,2630.4,2355.6,383.0,-274.8,108.2,610.9,894.5,904.5,283.6,10.0,293.6,2673.69,344.13,396.88,-2329.56,52.75,-2276.81,2.25,4.0,4.0,1.75,0.0,1.75,1,1,1,0.0,0.0,0.0,0.75,0.4,0.0,-0.35,-0.4,-0.75,277249,45823,55423,-231426.0,9600.0,-221826.0
Event Management,python,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.6667,0.2778,0.6667,-0.3889,0.2778,2889.1,2003.1,2397.9,-886.0,394.8,-491.2,779.5,944.1,1341.1,164.6,397.0,561.6,2345.87,987.89,1280.39,-1357.98,292.5,-1065.48,2.5,4.0,4.0,1.5,0.0,1.5,0.0,5,5,5.0,0.0,5.0,1.0,0.2,0.0,-0.8,-0.2,-1.0,363183,97259,123386,-265924.0,26127.0,-239797.0
Human,java,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,-1.0,0.0,2314.8,3032.1,2424.2,717.3,-607.9,109.4,523.3,942.3,725.8,419.0,-216.5,202.5,227.46,614.04,248.48,386.58,-365.56,21.02,2.5,3.5,1.0,1.0,-2.5,-1.5,0.0,1,0.0,1.0,-1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.5,36896,59616,34650,22720.0,-24966.0,-2246.0
Human,javascript,0.0,1.0,1.0,1.0,0.0,1.0,0.6,0.0,0.0,-0.6,0.0,-0.6,2586.6,2418.3,2143.2,-168.3,-275.1,-443.4,574.6,761.5,438.5,186.9,-323.0,-136.1,360.62,312.12,203.43,-48.5,-108.69,-157.19,4.0,2.5,1.5,-1.5,-1.0,-2.5,1,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,50578,41338,28398,-9240.0,-12940.0,-22180.0
Human,python,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.1,2212.5,2662.8,-11.6,450.3,438.7,573.6,1087.4,846.5,513.8,-240.9,272.9,289.33,273.88,363.2,-15.45,89.32,73.87,2.5,1.0,2.5,-1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,44763,32999,52639,-11764.0,19640.0,7876.0
Shoten_SRS,java,0.463,0.6852,0.3889,0.2222,-0.2963,-0.0741,0.0,1.0,1.0,1.0,0.0,1.0,2938.5,2905.7,2807.6,-32.8,-98.1,-130.9,1302.6,1338.8,1596.3,36.2,257.5,293.7,6796.84,5393.55,5711.23,-1403.29,317.68,-1085.61,3.33,2.94,3.06,-0.39,0.12,-0.27,1,1,1,0.0,0.0,0.0,0.463,1.0,1.0,0.537,0.0,0.537,742188,619706,726642,-122482.0,106936.0,-15546.0
Shoten_SRS,javascript,0.3519,0.3704,0.3148,0.0185,-0.0556,-0.0371,0.6985,0.6187,0.7381,-0.0798,0.1194,0.0396,2379.9,2497.0,2617.0,117.1,120.0,237.1,1018.3,1044.9,1059.4,26.6,14.5,41.1,8405.67,3911.75,4895.41,-4493.92,983.66,-3510.26,3.19,3.28,3.39,0.09,0.11,0.2,1,1,1,0.0,0.0,0.0,0.6296,0.5926,0.5556,-0.037,-0.037,-0.074,740806,612736,650724,-128070.0,37988.0,-90082.0
